,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
505,นาย,อัศวิน,วิภูศิริ,ประชาธิปัตย์,2562-03-24
506,นาย,อาดิลัน,อาลีอิสเฮาะ,พลังประชารัฐ,2562-03-24
507,นาง,อาภรณ์,สาราคำ,เพื่อไทย,2562-03-24
508,นาย,อารี,ไกรนรา,เพื่อชาติ,2562-03-24
509,นาย,อาสพลธ์,สรรณ์ไตรภพ,ภูมิใจไทย,2562-03-24
510,นาย,อำนาจ,วิลาวัลย์,ภูมิใจไทย,2562-03-24
511,นาย,อำไพ,กองมณี,เสรีรวมไทย,2562-03-24
512,นาย,อิทธิรัตน์,จันทรสุรินทร์,เพื่อไทย,2562-03-24
513,นาย,อิสสระ,สมชัย,ประชาธิปัตย์,2562-03-24
514,นาย,อุบลศักดิ์,บัวหลวงงาม,เพื่อไทย,2562-03-24
515,นาย,เอกการ,ซื่อทรงธรรม,ภูมิใจไทย,2562-03-24
516,นาย,เอกชัย,ทรงอำนาจเจริญ,เพื่อไทย,2562-03-24
517,นาย,เอกธนัช,อินทร์รอด,เพื่อไทย,2562-03-24
518,นายแพทย์,เอกภพ,เพียรพิเศษ,ก้าวไกล,2562-03-24
519,ดร.,เอกราช,ช่างเหลา,ภูมิใจไทย,2562-03-24
520,นาย,เอี่ยม,ทองใจสด,พลังประชารัฐ,2562-03-24
521,นาย,โอชิษฐ์,เกียรติก้องชูชัย,เพื่อไทย,2562-03-24
522,นาย,พีระวิทย์,เรื่องลือดลภาค,ไทรักธรรม,2562-03-24
523,นาย,อภิสิทธิ์,เวชชาชีวะ,ประชาธิปัตย์,2562-03-24
524,ศาสตราจารย์ ดร.,นฤมล,ภิญโญสินวัฒน์,พลังประชารัฐ,2562-03-24
525,นาย,สมเกียรติ,ศรลัมพ์,ประชาภิวัฒน์,2562-03-24
526,พลเอก,กนิษฐ์,ชาญปรีชญา,,2562-05-28
527,นาย,กรรณภว์,ธนภรรคภวิน,,2562-05-28
528,พลตรี,กลชัย,สุวรรณบูรณ์,,2562-05-28
529,นาย,กล้านรงค์,จันทิก,,2562-05-28
530,นาย,กษิดิศ,อาชวคุณ,,2562-05-28
531,นาง,กอบกุล,อาภากร ณ อยุธยา,,2562-05-28
532,นาง,กาญจนารัตน์,ลีวิโรจน์,,2562-05-28
533,นาย,กำพล,เลิศเกียรติดำรงค์,,2562-05-28
534,นาย,กิตติ,วะสีนนท์,,2562-05-28
535,นาย,กิตติศักดิ์,รัตนวราหะ,,2562-05-28
536,นาย,กูรดิสถ์,จันทร์ศรีชวาลา,,2562-05-28
537,นาย,เกียว,แก้วสุทอ,,2562-05-28
538,ดร.,ไกรสิทธิ์,ตันติศิรินทร์,,2562-05-28
539,นาย,ขวัญชาติ,วงศ์ศุภรานันต์,,2562-05-28
540,นาย,คำนูณ,สิทธิสมาน,,2562-05-28
541,นาย,จเด็จ,อินสว่าง,,2562-05-28
542,นาย,จรินทร์,จักกะพาก,,2562-05-28
543,พลโท,จเรศักณิ์,อานุภาพ,,2562-05-28
544,พลตำรวจเอก,จักรทิพย์,ชัยจินดา,,2562-05-28
545,พลตำรวจโท,จิตติ,รอดบางยาง,,2562-05-28
546,นาง,จินตนา,ชัยยวรรณาการ,,2562-05-28
547,นาย,จิรชัย,มูลทองโร่ย,,2562-05-28
548,นาง,จิรดา,สงฆ์ประชา,,2562-05-28
549,พลเอก,จิรพงศ์,วรรณรัตน์,,2562-05-28
550,พลเอก,จีระศักดิ์,ชมประสพ,,2562-05-28
551,นายแพทย์,เจตน์,ศิรธรานนท์,,2562-05-28
552,นาย,เจน,นำชัยศิริ,,2562-05-28
553,ดร.,ฉวีรัตน์,เกษตรสุนทร,,2562-05-28
554,พลเอก,ฉัตรเฉลิม,เฉลิมสุข,,2562-05-28
555,พลเอก,ฉัตรชัย,สาริกัลยะ,,2562-05-28
556,นาย,เฉลา,พวงมาลัย,,2562-05-28
557,พลอากาศตรี นายแพทย์,เฉลิมชัย,เครืองาม,,2562-05-28
558,ผู้ช่วยศาสตราจารย์ นายแพทย์,เฉลิมชัย,บุญยะลีพรรณ,,2562-05-28
559,นาย,เฉลิมชัย,เฟื่องคอน,,2562-05-28
560,นาย,เฉลียว,เกาะแก้ว,,2562-05-28
561,นาย,ชยุต,สืบตระกูล,,2562-05-28
562,พลเอก,ชยุติ,สุวรรณมาศ,,2562-05-28
563,นาย,ชลิต,แก้วจินดา,,2562-05-28
564,พลตำรวจเอก,ชัชวาลย์,สุขสมจิตร์,,2562-05-28
565,พลอากาศเอก,ชัยพฤกษ์,ดิษยะศริน,,2562-05-28
566,พลเรือเอก,ชัยวัฒน์,เอี่ยมสมุทร,,2562-05-28
567,ดร.,ชาญวิทย์,ผลชีวิน,,2562-05-28
568,พลเอก,ชาตอุดม,ติตถะสิริ,,2562-05-28
569,พลเรือเอก,ชุมนุม,อาจวงษ์,,2562-05-28
570,พลเอก,ชูศักดิ์,เมฆสุวรรณ์,,2562-05-28
571,พลเอก,เชวงศักดิ์,ทองสลวย,,2562-05-28
572,ว่าที่ร้อยตรี,เชิดศักดิ์,จำปาเทศ,,2562-05-28
573,นาย,เชิดศักดิ์,สันติวรวุฒิ,,2562-05-28
574,นาย,ซากีย์,พิทักษ์คุมพล,,2562-05-28
575,พลเรือเอก,ฐนิธ,กิตติอำพน,,2562-05-28
576,พลเรือเอก,ณรงค์,พิพัฒนาศัย,,2562-05-28
577,นาย,ณรงค์,รัตนานุกูล,,2562-05-28
578,นาย,ณรงค์,สหเมธาพัฒน์,,2562-05-28
579,นาย,ณรงค์,อ่อนสอาด,,2562-05-28
580,พลเอก,ณัฐ,อินทรเจริญ,,2562-05-28
581,พลเอก,ดนัย,มีชูเวท,,2562-05-28
582,นาง,ดวงพร,รอดพยาธื์,,2562-05-28
583,ดร.,ดาวน้อย,สุทธินิภาพันธ์,,2562-05-28
584,ดร.,ดิเรกฤทธิ์,เจนครองธรรม,,2562-05-28
585,นาย,ดุสิต,เขมะศักดิ์ชัย,,2562-05-28
586,พลตำรวจเอก,เดชณรงค์,สุทธิชาญบัญชา,,2562-05-28
587,พลตำรวจโท,ตรีทศ,รณฤทธิวิชัย,,2562-05-28
588,พลอากาศเอก,ตรีทศ,สนแจ้ง,,2562-05-28
589,ดร.,ตวง,อันทะไชย,,2562-05-28
590,พลเอก,ไตรโรจน์,ครุธเวโช,,2562-05-28
591,นาย,ถนัด,มานะพันธ์ุนิยม,,2562-05-28
592,นาย,ถวิล,เปลี่ยนศรี,,2562-05-28
593,นาย,ถาวร,เทพวิมลเพชรกุล,,2562-05-28
594,พลอากาศเอก,ถาวร,มณีพฤกษ์,,2562-05-28
595,นาย,ทรงเดช,เสมอคำ,,2562-05-28
596,พลเอก,ทวีป,เนตรนิยม,,2562-05-28
597,นายแพทย์,ทวีวงษ์,จุลกมนตรี,,2562-05-28
598,นาง,ทัศนา,ยุวานนท์,,2562-05-28
599,ร้อยเอก ดร.,ทินพันธุ์,นาคะตะ,,2562-05-28
600,พลเอก,เทพพงศ์,ทิพยจันทร์,,2562-05-28
601,พลเอก,ธงชัย,สาระสุข,,2562-05-28
602,พลเอก ดร.,ธนะศักดิ์,ปฏิมาประกร,,2562-05-28
603,พลเอก,ธวัชชัย,สมุทรสาคร,,2562-05-28
604,นาย,ธานี,สุโชดายน,,2562-05-28
605,นาย,ธานี,อ่อนละเอียด,,2562-05-28
606,พลเอก,ธีรเดช,มีเพียร,,2562-05-28
607,นาย,ธีระเกียรติ,เจริญเศรษฐศิลป์,,2562-05-28
608,พลเรือเอก,นพดล,โชคระดา,,2562-05-28
609,พลเอก,นพดล,อินทปัญญา,,2562-05-28
610,พลเอก,นาวิน,ดำริกาญจน์,,2562-05-28
611,นาย,นิพนธ์,นาคสมภพ,,2562-05-28
612,พลเอก,นิวัตร,มีนะโยธิน,,2562-05-28
613,ดร.,นิสดารก์,เวชยานนท์,,2562-05-28
614,นาย,นิอาแซ,ซีอุเซ็ง,,2562-05-28
615,นาย,เนาวรัตน์,พงษ์ไพบูลย์,,2562-05-28
616,นาย,บรรชา,พงศ์อายุกูล,,2562-05-28
617,พลเอก,บุญธรรม,โอริส,,2562-05-28
618,นาย,บุญมี,สุระโคตร,,2562-05-28
619,ดร.,บุญส่ง,ไข่เกษ,,2562-05-28
620,พลเอก ดร.,บุญสร้าง,เนียมประดิษฐ์,,2562-05-28
621,นาง,เบญจรัตน์,จริยธาราสิทธิ์,,2562-05-28
622,หม่อมหลวง,ปนัดดา,ดิศกุล,,2562-05-28
623,พลอากาศเอก ดร.,ประจิน,จั่นตอง,,2562-05-28
624,นาย,ประดิษฐ์,เหลืองอร่าม,,2562-05-28
625,นาง,ประภาศรี,สุฉันทบุตร,,2562-05-28
626,นาย,ประมนต์,สุธีวงศ์,,2562-05-28
627,นาย,ประมาณ,สว่างญาติ,,2562-05-28
